ISBN10	AUTHOR
0671047612	FRANKLIN W. DIXON
0671504282	FRANKLIN W. DIXON
0399138684	LILIAN JACKSON BRAUN
0785263292	HOLLY VIRDEN
0785263292	MICHELLE MCKINNEY HAMMOND
0830714014	H. NORMAN WRIGHT
0345354931	PIERS ANTHONY
0553278223	RAY BRADBURY
3150000335	FRIEDRICH SCHILLER
3150000335	WALTER SCHAFARSCHIK
3257203659	RAY BRADBURY
3257203659	PETER NAUJACK
3257207522	RAYMOND CHANDLER
3257207522	HANS WOLLSCHLÄGER
3257208626	RAY BRADBURY
3257208634	RAY BRADBURY
3257208634	THOMAS SCHLÜCK
3257208669	RAY BRADBURY
3257208669	NORBERT WÖLFL
3257210450	RAY BRADBURY
3257210450	ALEXANDER SCHMITZ
3257212054	RAY BRADBURY
3257212429	RAY BRADBURY
3257214154	RAY BRADBURY
3257214154	JÜRGEN BAUER
3257214154	ALASTAIR KER
3257216416	RAY BRADBURY
3257233051	PAULO COELHO
3257233051	MARALDE MEYER-MINNEMANN
342311360X	GABRIEL GARCÍA MÁRQUEZ
3423116714	FAY WELDON
3423241489	ARABELLA WEIR
3426605686	KIANA DAVENPORT
3426605686	MARGARETE LÄNGSFELD
3453212150	SUE TOWNSEND
3462021095	RENAN DEMIRKAN
3492045642	MICHAEL MOORE
3492045642	HELMUT DIERLAMM
3492045642	HEIKE SCHLATTERER
3498020862	JONATHAN FRANZEN
3498020862	BETTINA ABARBANELL
3499110695	J. D. SALINGER
3499110695	ANNEMARIE BÖLL
3499110695	HEINRICH BÖLL
3499110695	ELISAB
3499151502	J. D. SALINGER
3499151502	ANNEMARIE BÖLL
3499151502	HEINRICH BÖLL
3518111000	JAMES JOYCE
3518111000	HANS WOLLSCHLÄGER
3548254268	JOANNA TROLLOPE
3570300099	SUE TOWNSEND
3570300099	ANTOINETTE GITTINGER
3596292646	MILAN KUNDERA
0060977493	ARUNDHATI ROY
0312872682	ROBERT S. LEVINSON
0316602906	JAMES PATTERSON
0316693006	JAMES PATTERSON
0345311396	RICHARD NORTH PATTERSON
0345378490	MICHAEL CRICHTON
0345404793	RICHARD NORTH PATTERSON
0345433173	LORNA LANDVIK
0375400117	ARTHUR GOLDEN
0375705856	KENT HARUF
0380717018	PATRICIA D CORNWELL
0380718332	PATRICIA D. CORNWELL
0380754509	CAROL J. FARLEY
0380754509	TOM NEWSOM
038076654X	KATHLEEN E. WOODIWISS
0380807866	KATHLEEN E. WOODIWISS
0385316895	BELVA PLAIN
0385497466	JOHN GRISHAM
0385508042	JOHN GRISHAM
0385509456	MARK HADDON
0385511612	JOHN GRISHAM
0385730586	ANN BRASHARES
0425164403	ERICH SEGAL
0440234964	ELIZABETH ADLER
0446605484	JAMES PATTERSON
0446610399	NICHOLAS SPARKS
0449006522	JOHN SAUL
0449911004	LORNA LANDVIK
0451162072	STEPHEN KING
0451186648	STEVE THAYER
0452282152	TRACY CHEVALIER
051513290X	JUDITH KELMAN
0553580388	MICHAEL PALMER
0590598848	FRANCINE HUGHES
0590629719	NORMAN BRIDWELL
0671023616	PATRICIA CORNWELL
0671027387	DAN BROWN
0684848783	FRANK MCCOURT
0743486226	DAN BROWN
0786863986	MALACHY MCCOURT
0803251718	MARI SANDOZ
0804117934	ANNE PERRY
140003180X	ALEXANDER MCCALL SMITH
155874262X	JACK CANFIELD
155874262X	MARK VICTOR HANSEN
155874262X	BARBARA BERGMAN
0060987103	GREGORY MAGUIRE
0151008116	YANN MARTEL
0375704965	RUTH RENDELL
0525947647	AL FRANKEN
0804111359	DONNA TARTT
1558744150	JACK CANFIELD
1558744150	MARK VICTOR HANSEN
1558744150	JENNIFER READ HAW
0435272683	JOHN MILNE
0316782505	ANITA SHREVE
006102063X	TERRY PRATCHETT
0060013117	TERRY PRATCHETT
0060199563	TERRY PRATCHETT
006052779X	E. B. WHITE
006052779X	GARTH WILLIAMS
0060563079	J. M. BARRIE
0060809027	MARY O'HARA
0061040967	TERRY PRATCHETT
0061040967	PAUL KIDBY
0061050474	TERRY PRATCHETT
0061052515	TERRY PRATCHETT
0061052523	TERRY PRATCHETT
0064472264	LOUISE RENNISON
0140620664	JANE AUSTEN
0312148267	KENNETH GRAHAME
0312156960	BERNARD CORNWELL
0312890044	CHARLES DE LINT
034543191X	LORD DUNSANY
034543191X	NEIL GAIMAN
0373836023	GEORGETTE HEYER
0375751513	OSCAR WILDE
0375751513	JEFFREY EUGENIDES
0375801677	TED HUGHES
0375801677	ANDREW DAVIDSON
0375814248	ROALD DAHL
0375814248	QUENTIN BLAKE
0375823352	PHILIP PULLMAN
037582345X	PHILIP PULLMAN
0375823468	PHILIP PULLMAN
0380730448	SUE TOWNSEND
0380973839	RAY BRADBURY
0385327773	DONNA JO NAPOLI
0394586239	A.S. BYATT
0439510112	TANUJA DESAI HIDIER
0440241413	SOPHIE KINSELLA
0451409256	ISABEL WOLFF
0451523415	LOUISA MAY ALCOTT
0451526279	JANE AUSTEN
0451526279	MARGARET DRABBLE
0451526341	GEORGE ORWELL
0486415864	CHARLES DICKENS
0553280589	ISABEL ALLENDE
0571197639	BARBARA KINGSOLVER
0670035262	ELLEN DATLOW
0670035262	TERRI WINDLING
0670035262	CHARLES VESS
0670035262	NEIL GAIM
0679423079	CHARLES DICKENS
0679751343	A.S. BYATT
0684833395	JOSEPH HELLER
0743245024	JOHN GALSWORTHY
0749748001	ENID BLYTON
0749748028	ENID BLYTON
0963094424	NEIL GAIMAN
1401201172	ALAN MOORE
1401201172	KEVIN O'NEILL
1401201172	BEN DIMAGMALIW
1563892278	NEIL GAIMAN
1563892278	SAM KIETH
1563892278	MIKE DRINGENBERG
1563892278	MALCOLM JON
1563898586	ALAN MOORE
156971620X	NEIL GAIMAN
156971620X	JOHN BOLTON
1592571301	TRUDY SUGGS
0374270325	TOM WOLFE
0375719180	BRADY UDALL
0440235502	HOMER HICKAM
044023722X	JOHN GRISHAM
1573225487	PEARL ABRAHAM
1853260673	THOMAS HARDY
0060977477	SEBASTIAN JUNGER
0345391691	KAREN ARMSTRONG
0520011171	MARY BARNARD
0520011171	DUDLEY FITTS
0553278746	DAVID BRIN
0670856045	T. C. BOYLE
0670856045	T. CORAGHESSAN BOYLE
0872200760	PLATO
0872200760	ALEXANDER NEHAMAS
0872200760	PAUL WOODRUFF
0937858994	LYNDA MADARAS
0937858994	DANE SAAVEDRA
0937858994	JACKIE AHER
0671649949	STEPHEN MCCAULEY
0590431110	ISABELLE HOLLAND
0064470113	PAM CONRAD
0553571486	LURLENE MCDANIEL
0972044205	BRIAN KAUFMAN
0312963009	JOHN DARNTON
0345430476	MARTIN SCHENK
0345435869	DAVID EDDINGS
0345435869	LEIGH EDDINGS
0380728729	PAUL REISER
038081840X	DAVID G. HARTWELL
038081840X	KATHRYN CRAMER
0449912302	DAVE BARRY
055329198X	JOHN R. HOLT
0671018930	THEODORE BEALE
0812541642	FRANK M. ROBINSON
0312988699	MARY JANE CLARK
0486282112	MARY SHELLEY
0486282112	DOVER THRIFT EDITIONS
0670815373	ROBERT WESTALL
0385313748	ROBERT B. PARKER
1575843366	RITA CHAPMAN WORKS
0684193957	PATRICIA CORNWELL
0345371984	DOUGLAS ADAMS
0345371984	MARK CARWARDINE
0380730138	A. MANETTE ANSAY
1573228737	SARAH WATERS
9681500555	ANNE FRANK
0380711109	BARRY LOPEZ
0452283914	GREG PALAST
0425120279	TOM CLANCY
067153484X	ANDREA KANE
0380728273	NEVADA BARR
0446606197	MARGARET MARON
0771076002	EDNA BARKER
0771076002	SHELAGH ROGERS
0771088191	MURIEL WHITAKER
1559703237	JOHN IRVING
3596214629	WILLIAM GOLDING
3596214629	HERMANN STIEHL
0062770500	HARPERREFERENCE
0671847546	LTD
0060188731	ANN PATCHETT
0140374248	ROALD DAHL
0140374248	LANE SMITH
0142001740	SUE MONK; SUE MONK KIDD KIDD
0142001740	ROSEANNE J. SERRA (CO
0195086295	BOB THIELE
0195086295	BOB GOLDEN
0195086295	STEVE ALLEN
0312995423	DAN BROWN
0380704587	COLLEEN MCCULLOUGH
0380815923	JOANNE HARRIS
0385416342	JOHN GRISHAM
0385418493	THOMAS CAHILL
038542471X	JOHN GRISHAM
0425098109	MICHAEL HUDSON
0449005410	JANE SMILEY
0449202631	DICK FRANCIS
0449207544	DICK FRANCIS
0515128554	NORA ROBERTS
0517577402	DOUGLAS ADAMS
0590450875	JEAN MARZOLLO
0590450875	WALTER WICK
0590450875	CAROL DEVINE CARSON
0590481371	JEAN MARZOLLO
0590481371	WALTER WICK
067103619X	BARBARA DELINSKY
0684177730	P. D. JAMES
0684180200	ARTHUR W. UPFIELD
0743411269	BARBARA DELINSKY
0743470389	CHRISTOPHER RICE
076218857X	REX STOUT
0767905938	JOAN ANDERSON
0800706544	VANCE HAVNER
0801096677	WARREN W. WIERSBE
0849953014	MAX LUCADO
0891091963	LARRY CRABB
0915811537	BARRY NEIL KAUFMAN
0927545373	BOB SJOGREN
1575024179	FREDERICK J. MOODY
1880185008	NEAL PIROLO
0140345809	WILLIAM SLEATOR
0156528207	ANTOINE DE SAINT-EXUPERY
0380012863	RICHARD BACH
0451154916	KEVIN SULLIVAN
0785815147	MICHELE MORGAN
0875421288	SCOTT CUNNINGHAM
1567184294	DAVID ALLEN HULSE
156718796X	RICHARD WEBSTER
1862047626	BERNARD KING
0020437501	PAT HUTCHINS
0198320264	WILLIAM SHAKESPEARE
0198320264	ROMA GILL
0373196989	MELISSA MCCLONE
0373245580	CHERYL ST. JOHN
0451527747	LEWIS CARROLL
0451527747	MARTIN GARDNER
0671867113	MARY HIGGINS CLARK
0812504208	MARK TWAIN
0060173289	REBECCA WELLS
0060973897	MARY CROW DOG
0060973897	RICHARD ERDOES
006101351X	SEBASTIAN JUNGER
0140104682	LINDA GORDON
0312143370	FLORENCE KING
0316666343	ALICE SEBOLD
039456894X	SPALDING GRAY
0440224675	THOMAS HARRIS
0449002632	EDWARD RUTHERFURD
0449213773	MARGARET ATWOOD
0452279690	DOROTHY ALLISON
0553569058	MARGARET ATWOOD
0679427430	MAYA ANGELOU
0679725393	EDITH WHARTON
0802114369	MARY BRAVE BIRD
0803233019	JOHN G. NEIHARDT
0803233019	VINE DELORIA JR.
0819154946	ROLAND WARREN
0897322339	JOHNNY MOLLOY
0940322978	JAMES MCCOURT
0940322978	WAYNE KOESTENBAUM
1573225126	ELIZABETH WURTZEL
1579651658	BILL BRADLEY
1878424319	DON MIGUEL RUIZ
0600586898	PAUL LESTER
1853260622	LEO TOLSTOY
1857938011	SIMON NYE
0060804157	ROBERT A JOHNSON
0140382658	MARC GASCOIGNE
0152012966	STEPHANIE MAZE
0312283784	SANDRA DALLAS
0345297709	PIERS ANTHONY
0345313097	PIERS ANTHONY
0345335465	ANNE MCCAFFREY
0345416848	DAVID GEMMELL
0385333404	LAURA ZIGMAN
044021145X	JOHN GRISHAM
0449212084	MARGARET TRUMAN
0553582682	MARK C. YOUNG
0590947257	PAULA DANZIGER
0590947257	TONY ROSS
074345829X	RICHARD A. LUPOFF
074345829X	BRUCE COVILLE
0786913878	CARRIE A. BEBRIS
0801491827	ELLEN CAROL DUBOIS
0816729913	CANDICE F. RANSOM
0843136685	SAM BOBRICK
0843136685	JULIE STEIN
0843136685	PRICE STERN SLOAN
0866119531	ANNA
0866119531	 AND VOGEL
0866119531	 MALVINA (EDITOR) SEWELL
0866119566	CHARLES DICKENS
0866119566	MARIAN LEIGHTON
0870441663	DONNA K. GROSVENOR
0870441663	JAMES L. STANFIELD
1561561428	MARY WOLLSTONECRAFT SHELLEY
1561561428	D. J. ARNESON
1561561428	EVA CLIF
0553210092	NATHANIEL HAWTHORNE
0553258524	ANNE MCCAFFREY
0688163726	ROBERT WESTALL
1569471096	VALERIE BLOCK
055358099X	LUANNE RICE
0316168815	ALICE SEBOLD
014023828X	T. CORAGHESSAN BOYLE
0316314927	ELLEN GILCHRIST
0345424719	JOHN IRVING
0375414746	TIM GAUTREAUX
0375726403	RICHARD RUSSO
0385503857	MARGARET ATWOOD
0425156842	JOSTEIN GAARDER
0440226104	ANNA QUINDLEN
0452277337	DIANE JOHNSON
0553802488	DEAN KOONTZ
0671021001	WALLY LAMB
0767903579	ADELINE YEN MAH
0805063897	BARBARA EHRENREICH
0679777431	DOROTHY DUNNETT
0553285343	JOHN LECARRE
0486285529	SINGER MEDIA CORPORATION
0671002481	OLIVIA GOLDSMITH
0812523385	EMILY DICKINSON
0895774666	HAZEL HARRISON
0020199090	JOSEPH GIRZONE
0385495145	JOSEPH F. GIRZONE
0679733825	LORRAINE ANDERSON
0842329129	TIM LAHAYE
0842329129	JERRY B. JENKINS
0345451260	AD HUDLER
0740700235	JOSEPHINE CARLTON
0380973545	TED L. NANCY
0380973545	JERRY SEINFELD
0393321576	FRANCIS WHEEN
0743424425	STEPHEN KING
0786868015	ELLEN RIMBAUER
0786868015	JOYCE REARDON
0786868015	STEVEN RIMBAUER
0446610178	SIDNEY SHELDON
0684854953	CHRISTOPHER MOORE
0684854953	PAMELA JOHNSON
0743229878	MARY HIGGINS CLARK
0380617625	ROBERT LACEY
0380732335	TIM DORSEY
0385337132	JODI COMPTON
0440235057	ELMORE LEONARD
0445402040	ELMORE LEONARD
0618119760	LYNN COADY
0871138646	JOHN LAWTON
0026329859	EILEEN YIN-FEI LO
0060621257	TILDEN EDWARDS
0060915544	BARBARA KINGSOLVER
0060917016	BARBARA KINGSOLVER
0060925000	VIKRAM SETH
0060932759	ISABEL ALLENDE
0061000280	TONY HILLERMAN
0192815318	ELIZABETH GASKELL
0192815318	ELIZABETH PORGES WATSON
0312195516	ANITA DIAMANT
0380792664	LAUREN HANEY
0393048977	GERALD STERN
0399137807	LILIAN JACKSON BRAUN
039914739X	PATRICIA CORNWELL
0451203046	MAEVE BINCHY
0451410556	MARTHA GRIMES
0451523318	HENRY JAMES
0486281965	SARAH ORNE JEWETT
0486292940	WILLIAM CARLOS WILLIAMS
051762639X	RH VALUE PUBLISHING
0684824442	EDITH WHARTON
0743458303	HARRY KEMELMAN
081296666X	MIL MILLINGTON
0819215635	SUZANNE G. FARNHAM
0819215635	JOSEPH P. GILL
0819215635	R. TAYLOR MCLEAN
0880011025	CZESLAW MILOSZ
1561011525	MARGARET GUENTHER
1877727083	ROBERTO JUARROZ
1877727083	MARY CROW
0486206173	HANS KMOCH
0486206173	BARNIE F. WINKELMAN
0312278586	EMMA MCLAUGHLIN
0312278586	NICOLA KRAUS
0140370900	PAUL JENNINGS
0674511255	MARK E. NEELY JR.
0030096189	STEPHEN J. WEININGER
0030096189	FRANK R. STERMITZ
0312965745	LARRY KATZENSTEIN
0345374657	DAVID STEINMAN
0395710901	ALFIE KOHN
080521061X	PAULA POLK LILLARD
0823032612	DAVID LEWIS
0679310002	BILLIE LIVINGSTON
0312288115	ADELE LANG
0316171107	JEN BANBURY
0380710218	PATRICIA DANIELS CORNWELL
0515118656	CATHERINE COULTER
0553289063	DOMINICK DUNNE
0671000306	CLIVE CUSSLER
0671673688	MARY HIGGINS CLARK
1561672033	JOHN PASCAL
0425178242	CARL HIAASEN
0425178242	DIANE STEVENSON
0618173870	JONATHAN SAFRAN FOER
0156027321	YANN MARTEL
0375403582	FRANCESCA MARCIANO
0385721420	JULIA GLASS
0451202341	TAWNI O'DELL
0743418190	JENNIFER WEINER
0385335407	DANIELLE STEEL
0965746828	LEON HALE
0060923245	RUSSELL BANKS
0486272664	SAMUEL TAYLOR COLERIDGE
0786015276	BRADLEY P WARSHAUER
0786015276	BRADLEY P. WARSHAUER
0060913509	BOBBIE ANN MASON
0553272837	NORA ROBERTS
0440225078	KAREN ROBARDS
0312145543	EMMA LATHEN
0425181111	DEAN KOONTZ
0380732688	FAYE KELLERMAN
0140286276	JACQUELYN MITCHARD
0373484100	NORA ROBERTS
0449907481	JANE SMILEY
0553107305	DIANE MOTT DAVIDSON
080213825X	CANDACE BUSHNELL
0515127833	NORA ROBERTS
0345441133	KRISTIN HANNAH
0515134279	MICHAEL MARSHALL
0945586051	ALLEN WIDOME
0385490992	JOHN GRISHAM
0385424728	JOHN GRISHAM
0312980388	WILBUR SMITH
0590419625	MIKE THALER
0590419625	JARED LEE
0385472951	JOHN GRISHAM
0451195663	MICHAEL SLADE
0425182878	JOHN SANDFORD
0425182878	JOHN CAMP
0553564528	TAMI HOAG
055356451X	TAMI HOAG
0743412621	MARY HIGGINS CLARK
0849943728	TED DEKKER
0849943450	ANGELA HUNT
084994371X	TED DEKKER
0590406019	C. S. LEWIS
0020442408	C. S LEWIS
0553225987	WILL EISNER
042517736X	ROBIN COOK
0671868713	ANN RULE
038549825X	E. LYNN HARRIS
0553202294	LINDA GOODMAN
0345313860	ANNE RICE
0345369947	ANNE RICE
067170124X	JUDITH ROSSNER
0345353625	MARILYN FRENCH
0308102282	WAYNE W. DYER
006017143X	ARMISTEAD MAUPIN
0805056491	JULIE MORGENSTERN
0679401377	PETER STRAUB
1562827049	JAMES MAYBRICK
1562827049	SHIRLEY HARRISON
0385306032	DANIELLE STEEL
0816152446	BARBARA TAYLOR BRADFORD
0821772953	LISA JACKSON
0345379454	SHARYN MCCRUMB
0553576925	KAY HOOPER
0743206053	MARY HIGGINS CLARK
0688169678	COKIE ROBERTS
0439319552	SHANA COREY
0439319552	MARK TEAGUE
0590870157	JESSE S. OSTROW
0590870157	CHARLES SHAW
0307001164	JUSTINE KORMAN
0307001164	BILL LANGLEY
0307001164	RON DIAS
0307001164	WALT DISNEY P
0440441501	PATRICIA REILLY GIFF
0590687301	BEVERLY CLEARY
0439061644	K.A. APPLEGATE
0439569842	JANE YOLEN
0439569842	MARK TEAGUE
0307118703	GOLDEN BOOKS
0590418858	MARVIN MILLER
030720152X	CRAIG BOLDMAN
0816728739	H. G. WELLS
0816728739	RAYMOND JAMES
0816728739	JIM DEAL
0865050880	BOBBIE KALMAN
0812519655	MERCEDES LACKEY
0812524853	MERCEDES LACKEY
0449211770	DOROTHY GILMAN
193072229X	MOVEON.ORG
0812521129	MERCEDES LACKEY
0345251733	CHRISTOPHER FINCH
1400077826	CHARLES FRAZIER
0312995431	JULIA SPENCER-FLEMING
0312312628	JULIA SPENCER-FLEMING
0446394521	FANNIE FLAGG
0590021117	LAURA INGALL WILDER
068484267X	FRANK MCCOURT
068484267X	BROOKE ZIMMER
068484267X	JOHN FONTANA
0553578693	LISA GARDNER
0380709260	BEVERLY CLEARY
0380709260	TRACY DOCKRAY
0807565288	GERTRUDE CHANDLER WARNER
0312986769	JULIA SPENCER-FLEMING
0345413377	PHILIP PULLMAN
0345413369	PHILIP PULLMAN
0679893105	PHILIP PULLMAN
0061096091	LYNN S. HIGHTOWER
0345369068	SHARYN MCCRUMB
0451184718	SHARYN MCCRUMB
0449209121	DOROTHY GILMAN
0060938455	ERIC SCHLOSSER
080411952X	SUZANNE BROCKMANN
0060575808	GAIL CARSON LEVINE
0060558865	GAIL CARSON LEVINE
0767912918	FRANCES KUFFEL
0553298860	SUSAN CONANT
0385335679	DAVID SCHICKLER
0440122090	MAEVE BINCHY
0671525832	JUDITH MCNAUGHT
0553279572	RAY BRADBURY
0061009059	JANET EVANOVICH
0060930187	SYLVIA PLATH
0516076272	ILONA KOIDAHL
0679450432	RICHARD NORTH PATTERSON
0821775863	FERN MICHAELS
0821770209	FERN MICHAELS
0670855758	BETSY BYARS
0553562819	BRUCE STERLING
0446364193	JAMES PATTERSON
0446519138	SARAH BAN BREATHNACH
0425179672	ALICE HOFFMAN
0061042943	LISA SCOTTOLINE
0399144463	SPENCER JOHNSON
0399144463	KENNETH BLANCHARD
0965404560	IAN MCEWAN
006015781X	DAVID FELDMAN
006015781X	KAS SCHWAN
0060930705	RICHARD BAUSCH
0312206763	KATIE FFORDE
0316116025	JAMES BURKE
0156013967	BLISS BROYARD
0385314019	SARA PARETSKY
0743444167	CHARLES WEBB
0618231617	ELIZABETH BENEDICT
1567920047	STANLEY MORISON; BROOKE CRUTCHLEY (EDITOR); MIKE P
0811203220	HENRY MILLER
1573229148	DAVID WHYTE
0787955671	THOMAS CUMMINGS
0787955671	WARREN BENNIS
0787955671	GRETCHEN M. SPREITZE
0425174484	MARTHA BECK
0385496907	DESMOND TUTU
0446523992	CLAYBORNE CARSON
0446523992	KRIS SHEPARD
0446523992	ANDREW YOUNG
0140185216	JACK KEROUAC
0140185216	ANN CHARTERS
0684717255	MARTIN BUBER
0684717255	WALTER KAUFMANN
0486272745	NICCOLÒ MACHIAVELLI
0486272745	N. H. THOMPSON
0062507249	PAUL MONETTE
0684801221	ERNEST HEMINGWAY
1576737357	MELODY CARLSON
0060083298	ALISA KWITNEY
0446672211	BILLIE LETTS
0140293248	MELISSA BANK
0807070718	RENA KORNREICH GELISSEN
0807070718	HEATHER DUNE MACADAM
0743213831	MOON UNIT ZAPPA
0345305477	TED MOONEY
0061080519	SUSAN WIGGS
0142000205	GWYN HYMAN RUBIO
0316735027	ELISABETH ROBINSON
193156146X	AUDREY NIFFENEGGER
015600710X	ANITA SHREVE
0062517856	TIM FARRINGTON
0679767789	MARK SALZMAN
0449911683	CHAIM POTOK
0425169626	SCOTT SPENCER
0449207757	CHAIM POTOK
0449245691	CHAIM POTOK
0140029400	V. S. NAIPAUL
0140021566	V. S. NAIPAUL
2253004022	JEAN GIONO
